doy,VWC,depth,Plot,Trt
162,28.75875,10,15,dry w/ deluge
162,28.7525,15,15,dry w/ deluge
162,28.74625,20,15,dry w/ deluge
162,35.093125,25,15,dry w/ deluge
162,41.44,30,15,dry w/ deluge
162,42.468125,35,15,dry w/ deluge
162,43.49625,40,15,dry w/ deluge
162,42.3575,45,15,dry w/ deluge
162,41.21875,50,15,dry w/ deluge
162,37.6775,55,15,dry w/ deluge
162,34.13625,60,15,dry w/ deluge
162,29.425,65,15,dry w/ deluge
162,24.71375,70,15,dry w/ deluge
162,26.71125,75,15,dry w/ deluge
162,28.70875,80,15,dry w/ deluge
162,28.889375,85,15,dry w/ deluge
162,29.07,90,15,dry w/ deluge
163,28.0875,10,15,dry w/ deluge
163,28.045,15,15,dry w/ deluge
163,28.0025,20,15,dry w/ deluge
163,34.39625,25,15,dry w/ deluge
163,40.79,30,15,dry w/ deluge
163,41.95625,35,15,dry w/ deluge
163,43.1225,40,15,dry w/ deluge
163,42.005,45,15,dry w/ deluge
163,40.8875,50,15,dry w/ deluge
163,37.485,55,15,dry w/ deluge
163,34.0825,60,15,dry w/ deluge
163,29.465,65,15,dry w/ deluge
163,24.8475,70,15,dry w/ deluge
163,26.8175,75,15,dry w/ deluge
163,28.7875,80,15,dry w/ deluge
163,28.97875,85,15,dry w/ deluge
163,29.17,90,15,dry w/ deluge
164,27.41625,10,15,dry w/ deluge
